lon,lat,sex,education,age,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,abcd_guessing_ability,TF_random_guess,coin_head,random ID,sex_divining_ability_reordered
-122.580101,47.53289795,1,4,8,1,0,45,0,1,0,0,75387,5
9.219894409,45.50500488,1,2,9,3,50,50,60,1,40,55,41682,3
-117.1685944,32.7993927,0,4,5,4,50,50,5,1,25,50,16144,2
-84.35780334,41.27789307,1,3,6,3,40,50,50,2,40,50,77113,3
80.19210815,13.0579071,0,5,5,4,50,50,30,2,20,50,74871,2
80.19210815,13.0579071,0,5,5,3,70,65,75,3,70,70,87440,3
12.51260376,41.897995,0,4,3,4,15,40,25,3,35,35,43841,2
77.35449219,11.10670471,0,5,4,3,60,40,35,2,30,40,73363,3
77.40658569,23.248703,1,5,4,1,40,55,35,2,30,50,95753,5
79.76629639,11.75410461,1,4,4,4,20,50,25,4,50,50,71131,2
11.67590332,45.66810608,0,4,2,3,50,50,25,2,50,50,56655,3
80.19210815,13.0579071,0,5,6,3,40,50,30,4,50,50,11868,3
-47.04440308,-22.89700317,1,5,4,3,35,25,20,3,75,70,29549,3
-81.2480011,28.90249634,1,5,7,3,40,40,25,2,50,35,90180,3
80.19210815,13.0579071,0,3,6,4,20,35,20,3,25,65,46087,2
73.72860718,18.61610413,1,4,5,4,85,45,25,2,45,50,51204,2
-49.29089355,-25.50790405,0,4,5,1,50,50,40,3,40,50,64716,5
-73.86949921,40.73640442,1,4,5,2,50,50,50,3,50,50,70313,4
-84.54640198,42.69689941,1,4,7,1,50,50,25,3,50,50,84421,5
80.19210815,13.0579071,1,4,5,5,90,85,80,5,75,95,66240,1
-46.03630066,-3.013793945,0,5,4,4,35,55,,3,35,45,58126,2
-93.80210114,41.5769043,0,4,3,4,25,75,25,2,50,50,67935,2
77.35449219,11.10670471,1,4,6,2,40,50,30,4,40,50,85463,4
80.19210815,13.0579071,0,4,6,3,15,15,15,3,15,15,86647,3
-2.977493286,56.45970154,0,4,3,3,50,50,25,3,50,50,52373,3
-77.0428009,-12.04640198,1,4,4,4,90,75,80,3,100,100,61551,2
